150,150,150,150,150,150,130,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,130,150,150,150,150,150,150,150,150,150,150,150,130,150,150,150,150
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
150,150,130,150,150,150,150,150,150,150,150,150,150,150,130,150,150,150,130,150,150,150,150,150,150,150,130,150,150,150,150,150,150,150,150,150,130,150,150,150
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,130,150,150,150,150,150,150,150,150,150,150
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,130,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
150,150,150,150,130,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,130,150,150,150,130,150,150,150
150,150,150,150,150,150,150,150,150,150,150,130,150,150,150,150,130,150,150,150,150,150,150,150,150,150,150,130,150,150,150,150,150,150,150,150,150,150,150,150
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,130,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,130,150
150,130,150,150,130,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,130,150,150,150,150,150,130,130,150,150,150,150,150,150
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,83,150
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,99,150
150,150,150,150,150,150,150,150,150,150,150,130,150,150,150,150,150,150,150,150,150,150,150,150,130,150,150,150,130,150,150,150,150,150,150,83,150,150,99,150
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,130,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,83,150,150,99,150,150,99,150
150,150,150,130,150,150,150,150,150,150,150,150,150,150,150,150,100,101,102,150,150,150,150,150,150,150,133,150,150,83,150,150,99,150,150,99,150,150,99,150
150,150,150,130,150,150,150,150,150,150,150,150,150,150,150,150,116,117,118,150,150,150,150,150,150,150,83,150,150,99,150,150,99,150,150,99,150,150,99,150
80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82
96,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,98
96,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,98
96,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,98
96,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,98
112,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,114
